State,Year,Pop
Missouri,2011,6010275
Missouri,2012,6024367
Missouri,2013,6040715
Missouri,2014,6056202
Missouri,2015,6071732
Missouri,2016,6087135
Missouri,2017,6106670
Missouri,2018,6121623
Missouri,2019,6137428
Missouri,1910,3293335
Missouri,1920,3404055
Missouri,1930,3629367
Missouri,1940,3784664
Missouri,1950,3954653
Missouri,1960,4319813
Missouri,1970,4676501
Missouri,1980,4916686
Missouri,1990,5117073
Missouri,2000,5595211
Montana,2010,989415
Montana,2011,997316
Montana,2012,1003783
Montana,2013,1013569
Montana,2014,1021869
Montana,2015,1030475
Montana,2016,1040859
Montana,2017,1052482
Montana,2018,1060665
Montana,2019,1068778
Montana,1910,376053
Montana,1920,548889
Montana,1930,537606
Montana,1940,559456
Montana,1950,591024
Montana,1960,674767
Montana,1970,694409
Montana,1980,786690
Montana,1990,799065
Montana,2000,902195
Nebraska,2010,1826341
Nebraska,2011,1840672
Nebraska,2012,1853303
Nebraska,2013,1865279
Nebraska,2014,1879321
Nebraska,2015,1891277
Nebraska,2016,1905616
Nebraska,2017,1915947
Nebraska,2018,1925614
Nebraska,2019,1934408
Nebraska,1910,1192214
Nebraska,1920,1296372
Nebraska,1930,1377963
Nebraska,1940,1315834
Nebraska,1950,1325510
Nebraska,1960,1411330
Nebraska,1970,1483493
Nebraska,1980,1569825
Nebraska,1990,1578385
Nebraska,2000,1711263
Nevada,2010,2700551
Nevada,2011,2712730
Nevada,2012,2743996
Nevada,2013,2775970
Nevada,2014,2817628
Nevada,2015,2866939
Nevada,2016,2917563
Nevada,2017,2969905
Nevada,2018,3027341
Nevada,2019,3080156
Nevada,1910,81875
Nevada,1920,77407
Nevada,1930,91058
Nevada,1940,110247
Nevada,1950,160083
Nevada,1960,285278
Nevada,1970,488738
Nevada,1980,800493
Nevada,1990,1201833
Nevada,2000,1998257
New Hampshire,2010,1316470
New Hampshire,2011,1320202
New Hampshire,2012,1324232
New Hampshire,2013,1326622
New Hampshire,2014,1333341
New Hampshire,2015,1336350
New Hampshire,2016,1342307
New Hampshire,2017,1348787
New Hampshire,2018,1353465
New Hampshire,2019,1359711
New Hampshire,1910,430572
New Hampshire,1920,443083
New Hampshire,1930,465293
New Hampshire,1940,491524
New Hampshire,1950,533242
New Hampshire,1960,606921
New Hampshire,1970,737681
New Hampshire,1980,920610
New Hampshire,1990,1109252
New Hampshire,2000,1235786
New Jersey,2010,8791894
New Jersey,2011,8828117
New Jersey,2012,8844942
New Jersey,2013,8856972
New Jersey,2014,8864525
New Jersey,2015,8867949
New Jersey,2016,8870827
New Jersey,2017,8885525
New Jersey,2018,8886025
New Jersey,2019,8882190
New Jersey,1910,2537167
New Jersey,1920,3155900
New Jersey,1930,4041334
New Jersey,1940,4160165
New Jersey,1950,4835329
New Jersey,1960,6066782
New Jersey,1970,7168164
New Jersey,1980,7364823
New Jersey,1990,7730188
New Jersey,2000,8414350
New Mexico,2010,2059179
New Mexico,2011,2080450
New Mexico,2012,2087309
New Mexico,2013,2092273
New Mexico,2014,2089568
New Mexico,2015,2089291
New Mexico,2016,2091630
New Mexico,2017,2091784
New Mexico,2018,2092741
New Mexico,2019,2096829
New Mexico,1910,327301
New Mexico,1920,360350
New Mexico,1930,423317
New Mexico,1940,531818
New Mexico,1950,681187
New Mexico,1960,951023
New Mexico,1970,1016000
New Mexico,1980,1302894
New Mexico,1990,1515069
New Mexico,2000,1819046
New York,2010,19378102
New York,2011,19499241
New York,2012,19572932
New York,2013,19624447
New York,2014,19651049
New York,2015,19654666
New York,2016,19633428
New York,2017,19589572
New York,2018,19530351
New York,2019,19453561
New York,1910,9113614
New York,1920,10385227
New York,1930,12588066
New York,1940,13479142
New York,1950,14830192
New York,1960,16782304
New York,1970,18236967
New York,1980,17558072
New York,1990,17990455
New York,2000,18976457
North Carolina,2010,9535483
North Carolina,2011,9657592
North Carolina,2012,9749476
North Carolina,2013,9843336
North Carolina,2014,9932887
North Carolina,2015,10031646
North Carolina,2016,10154788
North Carolina,2017,10268233
North Carolina,2018,10381615
North Carolina,2019,10488084
North Carolina,1910,2206287
North Carolina,1920,2559123
North Carolina,1930,3170276
North Carolina,1940,3571623
North Carolina,1950,4061929
North Carolina,1960,4556155
North Carolina,1970,5082059
North Carolina,1980,5881766
North Carolina,1990,6628637
North Carolina,2000,8049313
North Dakota,2010,672591
North Dakota,2011,685225
North Dakota,2012,701176
North Dakota,2013,722036
North Dakota,2014,737401
North Dakota,2015,754066
North Dakota,2016,754434
North Dakota,2017,754942
North Dakota,2018,758080
North Dakota,2019,762062
North Dakota,1910,577056
North Dakota,1920,646872
North Dakota,1930,680845
North Dakota,1940,641935
North Dakota,1950,619636
North Dakota,1960,632446
North Dakota,1970,617761
North Dakota,1980,652717
North Dakota,1990,638800
North Dakota,2000,642200
Ohio,2010,11536504
Ohio,2011,11544663
Ohio,2012,11548923
Ohio,2013,11576684
Ohio,2014,11602700
Ohio,2015,11617527
Ohio,2016,11634370
Ohio,2017,11659650
Ohio,2018,11676341
Ohio,2019,11689100
Ohio,1910,4767121
Ohio,1920,5759394
Ohio,1930,6646697
Ohio,1940,6907612
Ohio,1950,7946627
Ohio,1960,9706397
Ohio,1970,10652017
Ohio,1980,10797630
Ohio,1990,10847115
Ohio,2000,11353140
Oklahoma,2010,3751351
Oklahoma,2011,3788379
Oklahoma,2012,3818814
Oklahoma,2013,3853214
Oklahoma,2014,3878187
Oklahoma,2015,3909500
Oklahoma,2016,3926331
Oklahoma,2017,3931316
Oklahoma,2018,3940235
Oklahoma,2019,3956971
Oklahoma,1910,1657155
Oklahoma,1920,2028283
Oklahoma,1930,2396040
Oklahoma,1940,2336434
Oklahoma,1950,2233351
Oklahoma,1960,2328284
Oklahoma,1970,2559229
Oklahoma,1980,3025290
Oklahoma,1990,3145585
Oklahoma,2000,3450654
Oregon,2010,3831074
Oregon,2011,3872036
Oregon,2012,3899001
Oregon,2013,3922468
Oregon,2014,3963244
Oregon,2015,4015792
Oregon,2016,4089976
Oregon,2017,4143625
Oregon,2018,4181886
Oregon,2019,4217737
Oregon,1910,672765
Oregon,1920,783389
Oregon,1930,953786
Oregon,1940,1089684
Oregon,1950,1521341
Oregon,1960,1768687
Oregon,1970,2091385
Oregon,1980,2633105
Oregon,1990,2842321
Oregon,2000,3421399
Pennsylvania,2010,12702379
Pennsylvania,2011,12745815
Pennsylvania,2012,12767118
Pennsylvania,2013,12776309
Pennsylvania,2014,12788313
Pennsylvania,2015,12784826
Pennsylvania,2016,12782275
Pennsylvania,2017,12787641
Pennsylvania,2018,12800922
Pennsylvania,2019,12801989
Pennsylvania,1910,7665111
Pennsylvania,1920,8720017
Pennsylvania,1930,9631350
Pennsylvania,1940,9900180
Pennsylvania,1950,10498012
Pennsylvania,1960,11319366
Pennsylvania,1970,11793909
Pennsylvania,1980,11863895
Pennsylvania,1990,11881643
Pennsylvania,2000,12281054
Puerto Rico,2010,3725789
Puerto Rico,2011,3678732
Puerto Rico,2012,3634488
Puerto Rico,2013,3593077
Puerto Rico,2014,3534874
Puerto Rico,2015,3473232
Puerto Rico,2016,3406672
Puerto Rico,2017,3325286
Puerto Rico,2018,3193354
Puerto Rico,2019,3193694
Puerto Rico,1910,1118012
Puerto Rico,1920,1299809
Puerto Rico,1930,1543913
Puerto Rico,1940,1869255
Puerto Rico,1950,2210703
Puerto Rico,1960,2349544
Puerto Rico,1970,2712033
Puerto Rico,1980,3196520
Puerto Rico,1990,3522037
Puerto Rico,2000,3808610
Rhode Island,2010,1052567
Rhode Island,2011,1053649
Rhode Island,2012,1054621
Rhode Island,2013,1055081
Rhode Island,2014,1055936
Rhode Island,2015,1056065
Rhode Island,2016,1056770
Rhode Island,2017,1055673
Rhode Island,2018,1058287
Rhode Island,2019,1059361
Rhode Island,1910,542610
Rhode Island,1920,604397
Rhode Island,1930,687497
Rhode Island,1940,713346
Rhode Island,1950,791896
Rhode Island,1960,859488
Rhode Island,1970,946725
Rhode Island,1980,947154
Rhode Island,1990,1003464
Rhode Island,2000,1048319
South Carolina,2010,4625364
South Carolina,2011,4671994
South Carolina,2012,4717354
South Carolina,2013,4764080
South Carolina,2014,4823617
South Carolina,2015,4891938
South Carolina,2016,4957968
South Carolina,2017,5021268
South Carolina,2018,5084156
South Carolina,2019,5148714
South Carolina,1910,1515400
South Carolina,1920,1683724
South Carolina,1930,1738765
South Carolina,1940,1899804
South Carolina,1950,2117027
South Carolina,1960,2382594
South Carolina,1970,2590516
South Carolina,1980,3121820
South Carolina,1990,3486703
South Carolina,2000,4012012
South Dakota,2010,814180
South Dakota,2011,823579
South Dakota,2012,833566
South Dakota,2013,842316
South Dakota,2014,849129
South Dakota,2015,853988
South Dakota,2016,862996
South Dakota,2017,872868
South Dakota,2018,878698
South Dakota,2019,884659
South Dakota,1910,583888
South Dakota,1920,636547
South Dakota,1930,692849
South Dakota,1940,642961
South Dakota,1950,652740
South Dakota,1960,680514
South Dakota,1970,665507
South Dakota,1980,690768
South Dakota,1990,696004
South Dakota,2000,754844
Tennessee,2010,6346105
Tennessee,2011,6399291
Tennessee,2012,6453898
Tennessee,2013,6494340
Tennessee,2014,6541223
Tennessee,2015,6591170
Tennessee,2016,6646010
Tennessee,2017,6708799
Tennessee,2018,6771631
Tennessee,2019,6829174
Tennessee,1910,2184789
Tennessee,1920,2337885
Tennessee,1930,2616556
Tennessee,1940,2915841
Tennessee,1950,3291718
Tennessee,1960,3567089
Tennessee,1970,3923687
Tennessee,1980,4591120
Tennessee,1990,4877185
Tennessee,2000,5689283
Texas,2010,25145561
Texas,2011,25645629
Texas,2012,26084481
Texas,2013,26480266
Texas,2014,26964333
Texas,2015,27470056
Texas,2016,27914410
Texas,2017,28295273
Texas,2018,28628666
Texas,2019,28995881
Texas,1910,3896542
Texas,1920,4663228
Texas,1930,5824715
Texas,1940,6414824
Texas,1950,7711194
Texas,1960,9579677
Texas,1970,11196730
Texas,1980,14229191
Texas,1990,16986510
Texas,2000,20851820
Utah,2010,2763885
Utah,2011,2814384
Utah,2012,2853375
Utah,2013,2897640
Utah,2014,2936879
Utah,2015,2981835
Utah,2016,3041868
Utah,2017,3101042
Utah,2018,3153550
Utah,2019,3205958
Utah,1910,373351
Utah,1920,449396
Utah,1930,507847
Utah,1940,550310
Utah,1950,688862
Utah,1960,890627
Utah,1970,1059273
Utah,1980,1461037
Utah,1990,1722850
Utah,2000,2233169
Vermont,2010,625741
Vermont,2011,627049
Vermont,2012,626090
Vermont,2013,626210
Vermont,2014,625214
Vermont,2015,625216
Vermont,2016,623657
Vermont,2017,624344
Vermont,2018,624358
Vermont,2019,623989
Vermont,1910,355956
Vermont,1920,352428
Vermont,1930,359611
Vermont,1940,359231
Vermont,1950,377747
Vermont,1960,389881
Vermont,1970,444330
Vermont,1980,511456
Vermont,1990,562758
Vermont,2000,608827
Virginia,2010,8001024
Virginia,2011,8101155
Virginia,2012,8185080
Virginia,2013,8252427
Virginia,2014,8310993
Virginia,2015,8361808
Virginia,2016,8410106
Virginia,2017,8463587
Virginia,2018,8501286
Virginia,2019,8535519
Virginia,1910,2061612
Virginia,1920,2309187
Virginia,1930,2421851
Virginia,1940,2677773
Virginia,1950,3318680
Virginia,1960,3966949
Virginia,1970,4648494
Virginia,1980,5346818
Virginia,1990,6187358
Virginia,2000,7078515
Washington,2010,6724540
Washington,2011,6826627
Washington,2012,6897058
Washington,2013,6963985
Washington,2014,7054655
Washington,2015,7163657
Washington,2016,7294771
Washington,2017,7423362
Washington,2018,7523869
Washington,2019,7614893
Washington,1910,1141990
Washington,1920,1356621
Washington,1930,1563396
Washington,1940,1736191
Washington,1950,2378963
Washington,1960,2853214
Washington,1970,3409169
Washington,1980,4132156
Washington,1990,4866692
Washington,2000,5894121
West Virginia,2010,1852994
West Virginia,2011,1856301
West Virginia,2012,1856872
West Virginia,2013,1853914
West Virginia,2014,1849489
West Virginia,2015,1842050
West Virginia,2016,1831023
West Virginia,2017,1817004
West Virginia,2018,1804291
West Virginia,2019,1792147
West Virginia,1910,1221119
West Virginia,1920,1463701
West Virginia,1930,1729205
West Virginia,1940,1901974
West Virginia,1950,2005552
West Virginia,1960,1860421
West Virginia,1970,1744237
West Virginia,1980,1949644
West Virginia,1990,1793477
West Virginia,2000,1808344
Wisconsin,2010,5686986
Wisconsin,2011,5705288
Wisconsin,2012,5719960
Wisconsin,2013,5736754
Wisconsin,2014,5751525
Wisconsin,2015,5760940
Wisconsin,2016,5772628
Wisconsin,2017,5790186
Wisconsin,2018,5807406
Wisconsin,2019,5822434
Wisconsin,1910,2333860
Wisconsin,1920,2632067
Wisconsin,1930,2939006
Wisconsin,1940,3137587
Wisconsin,1950,3434575
Wisconsin,1960,3951777
Wisconsin,1970,4417731
Wisconsin,1980,4705767
Wisconsin,1990,4891769
Wisconsin,2000,5363675
Wyoming,2010,563626
Wyoming,2011,567299
Wyoming,2012,576305
Wyoming,2013,582122
Wyoming,2014,582531
Wyoming,2015,585613
Wyoming,2016,584215
Wyoming,2017,578931
Wyoming,2018,577601
Wyoming,2019,578759
Wyoming,1910,145965
Wyoming,1920,194402
Wyoming,1930,225565
Wyoming,1940,250742
Wyoming,1950,290529
Wyoming,1960,330066
Wyoming,1970,332416
Wyoming,1980,469557
Wyoming,1990,453588
Wyoming,2000,493782
